"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.675769550E-1,6.400406361E-2,3.072118759E-2,8.374166489E-2
1.874650990E-1,9.165906906E-2,8.358573914E-2,1.090259552E-1
2.073526720E-1,-1.230183840E-1,8.775854111E-2,4.149947166E-1
2.272412630E-1,3.058671951E-3,3.400754929E-2,4.808788300E-1
2.471103230E-1,1.061261892E-1,-6.570196152E-2,1.291599274E-1
2.670177540E-1,5.015015602E-3,6.418848038E-2,1.880168915E-2
2.869059780E-1,1.072895527E-2,-6.301689148E-2,-7.304382324E-2
3.067918430E-1,-2.568389177E-1,8.499479294E-2,-6.591033936E-2
3.266532120E-1,-2.024861574E-1,-2.470541000E-2,-4.897856712E-1
3.465512840E-1,7.885277271E-2,-8.908557892E-2,1.036868095E-1
3.664585930E-1,5.642485619E-2,2.428197861E-2,-5.694246292E-1
3.863466550E-1,1.720675230E-1,-8.291339874E-2,1.058325768E-1
4.062349610E-1,-1.692647934E-1,1.173763275E-1,-2.124962807E-1
4.261228600E-1,-1.880376339E-1,8.110713959E-2,1.687955856E-2
4.459941170E-1,-1.055300236E-1,4.910278320E-2,-1.112585068E-1
4.658865740E-1,3.444433212E-3,9.004592896E-3,-1.745786667E-1
4.857745540E-1,7.349991798E-2,-5.145025253E-2,-7.613325119E-2
5.056629820E-1,-1.125097275E-3,5.722522736E-2,9.567165375E-2
5.255509220E-1,-2.638804913E-1,1.025032997E-1,3.103590012E-2
5.454391060E-1,-1.775493622E-1,6.955432892E-2,-1.915526390E-1
5.653271680E-1,-1.315908432E-1,-6.931304932E-3,-1.498293877E-1
5.852154340E-1,1.439015865E-1,-1.384577751E-1,-2.079763412E-1
6.051034960E-1,8.760356903E-2,-6.964397430E-2,-1.572742462E-1
6.249763810E-1,-1.248466969E-1,-3.321170807E-2,-1.997337341E-1
6.448798640E-1,-1.029384136E-1,-8.562326431E-2,-5.281181335E-1
6.647681300E-1,-1.567995548E-1,-2.859125137E-1,-8.641853333E-1
6.846562320E-1,-6.904301643E-1,4.121713638E-1,-3.199024200E-1
7.045445790E-1,-6.278076172E-1,8.709416389E-1,1.119422913E-2
7.244493240E-1,-5.081305504E-1,7.210898399E-1,7.809944153E-1
7.443511390E-1,-2.133501768E-1,1.597533226E-1,7.471451759E-1
7.642222740E-1,-1.003535986E-1,5.272674561E-2,4.585914612E-1
7.841098890E-1,1.880332232E-1,-1.213521957E-1,5.304923058E-1
8.039981130E-1,1.417505741E-1,-2.680616379E-1,2.840890884E-1
8.238773860E-1,4.702343941E-1,-3.558521271E-1,-1.099948406E0
8.437746040E-1,3.628684282E-1,-4.873847961E-1,-6.927380562E-1
8.636628690E-1,2.661192417E-1,-1.852836609E-1,-8.731317520E-2
8.835511750E-1,2.477544546E-1,-1.648263931E-1,-9.476995468E-2
9.034393190E-1,1.634182930E-1,-1.879405975E-2,-2.375717163E-1
9.233085000E-1,2.362751961E-2,9.343147278E-2,1.053571701E-2
9.432026250E-1,-1.591761112E-1,1.712150574E-1,1.379828453E-1
9.630755510E-1,9.058570862E-2,-9.566307068E-2,1.039175987E-1
9.829779350E-1,2.015992403E-1,-1.272253990E-1,-5.948209763E-2
1.002844594E0,2.151519060E-1,-1.301369667E-1,-2.103004456E-1
1.022755199E0,1.108021736E-1,-9.047794342E-2,-9.121990204E-2
1.042643749E0,4.847478867E-2,-1.541662216E-2,1.750173569E-1
1.062531852E0,-1.580624580E-1,1.109886169E-1,3.238630295E-1
1.082420036E0,-1.409240961E-1,1.246581078E-1,1.740837097E-2
1.102308301E0,-1.037808657E-1,1.229896545E-1,2.477645874E-3
1.122196485E0,2.259755135E-2,-1.468086243E-2,8.968448639E-2
1.142084629E0,3.607034683E-3,2.288150787E-2,2.052664757E-1
1.161972609E0,-1.342300177E-1,1.670465469E-1,2.257194519E-1
1.181860956E0,-2.259267569E-1,1.603231430E-1,7.058620453E-3
1.201749100E0,-3.723865747E-1,1.794252396E-1,-2.524271011E-1
1.221621455E0,-2.263624668E-1,6.503963470E-2,-5.594062805E-2
1.241509924E0,3.693020344E-2,-7.305145264E-2,-1.321096420E-1
1.261413490E0,5.679893494E-2,-1.942777634E-2,-3.753428459E-1
1.281301918E0,-9.171056747E-2,1.710734367E-1,-2.572546005E-1
1.301189818E0,-6.525331736E-1,4.833621979E-1,2.446517944E-1
1.321078042E0,-7.880806923E-1,1.117754459E0,2.021160126E-1
1.340979532E0,-1.163912535E0,1.224115372E0,5.526161194E-2
1.360867716E0,-5.930194855E-1,4.698667526E-1,-1.022677422E-1
1.380755900E0,-1.078012586E-1,-4.292201996E-1,8.590998650E-1
1.400627727E0,-1.097408533E-1,-4.203658104E-1,8.098878860E-1
1.420532350E0,4.947572947E-2,-4.130606651E-1,5.245118141E-1
1.440407391E0,2.657782733E-1,-9.621667862E-2,-6.037130356E-1
1.460295738E0,5.321385860E-1,-1.715555191E-1,-7.730364799E-1
1.480183800E0,8.632127047E-1,-8.931951523E-1,-9.629917145E-2
1.500056359E0,1.467600107E0,-1.914630413E0,-1.022825241E-1
1.519960168E0,7.492085695E-1,-6.955494881E-1,-9.882326126E-1
1.539848271E0,-5.772811174E-2,1.352581978E-1,-1.052720070E0
1.559736536E0,-9.774678946E-2,1.972236633E-1,-2.279014587E-1
1.579624558E0,6.080359221E-2,1.608324051E-2,4.108343124E-1
1.599512538E0,-3.608942032E-2,-5.664825439E-4,3.261995316E-1
1.619414028E0,-3.544080257E-2,1.415801048E-1,-4.387474060E-2
1.639289150E0,-2.552238107E-1,1.554875374E-1,-1.235532761E-1
1.659177335E0,-1.112914085E-1,-3.350801468E-1,-4.055538177E-1
1.679065681E0,-1.640207767E-1,-1.716585159E-1,-1.232928276E0
1.698953459E0,-2.575348616E-1,1.465258598E-1,-6.286506653E-1
1.718840625E0,-2.972910404E-1,1.867070198E-1,1.148971081E0
1.738742685E0,1.155571342E-1,2.425870895E-1,1.571696758E0
1.758631398E0,2.584553361E-1,3.197684288E-1,-2.381553650E-1
1.778504893E0,-2.656049728E-1,5.585527420E-2,-1.304881573E0
1.798394704E0,-3.931615353E-1,-1.096239090E-1,-9.535198212E-1
1.818282766E0,-5.009630919E-1,-1.564073563E-2,-5.266671181E-1
1.838169445E0,1.332703233E-1,-2.665390968E-1,-4.637765884E-2
1.858058890E0,2.330511808E-1,3.464984894E-2,2.179851532E-1
1.877953422E0,1.062185764E-1,2.364001274E-1,2.143759727E-1
1.897848524E0,-1.197039485E-1,1.906833649E-1,-1.950149536E-1
1.917717421E0,-3.942251801E-1,3.484292030E-1,3.332843781E-1
1.937612237E0,-5.350124836E-2,-5.617046356E-2,-3.104467392E-1
1.957500055E0,3.366155624E-1,-2.835817337E-1,-2.378649712E-1
1.977374811E0,-4.527137280E-1,6.389112473E-1,-5.794820786E-1
1.997261002E0,-8.555272222E-1,7.468471527E-1,-1.948032379E-1
2.017164404E0,-9.682691097E-1,7.680888176E-1,1.072106361E-1
2.037051123E0,-7.105085254E-1,6.221976280E-1,-3.144955635E-1
2.056940935E0,8.651804179E-2,-4.749083519E-1,2.027449608E-1
2.076829241E0,7.160005569E-1,-8.800373077E-1,1.570234299E-1
2.096717344E0,9.057928324E-1,-9.941086769E-1,3.732585907E-1
2.116617979E0,6.771856546E-1,-3.584589958E-1,2.574734688E-1
2.136493915E0,4.033700526E-1,-5.286216736E-2,3.248200417E-1
2.156366108E0,2.601758242E-1,-1.133632660E-1,3.627905846E-1
2.176270039E0,-8.046278358E-2,-9.761762619E-2,8.991956711E-2
2.196158305E0,-3.869403601E-1,6.267442703E-1,7.987880707E-2
2.216045024E0,-1.603632808E0,2.279577732E0,-6.359009743E-1
2.235945741E0,-1.718056321E0,2.585502625E0,-5.309104919E-2
2.255835471E0,-1.982919812E0,1.904127598E0,7.771587372E-2
2.275723207E0,-2.229416609E0,9.704732895E-1,-5.841727257E-1
2.295612287E0,-1.615572214E0,-1.063513756E-1,-2.764053345E-1
2.315500389E0,7.861026525E-1,-7.369790077E-1,-6.504869461E-2
2.335389306E0,9.859359264E-1,-1.494265079E0,-2.828583717E-1
2.355249617E0,1.248769641E0,-1.651583195E0,-1.313794136E0
2.375163151E0,1.436177492E0,-1.881884098E0,-1.993744850E0
2.395051172E0,1.998144388E0,-2.422134876E0,-1.435552120E0
2.414928614E0,2.483558655E0,-2.661293507E0,4.636764526E-3
2.434820542E0,6.179811954E-1,-5.899705887E-1,1.840340137E0
2.454689154E0,2.916950583E-1,-2.118363380E-1,2.019974232E0
2.474592597E0,1.244599819E0,-9.502019882E-1,4.941964149E-1
2.494465359E0,3.818078041E-1,1.231551170E-1,-2.630877495E-1
2.514368884E0,-1.950650811E0,1.329735279E0,-4.424276352E-1
2.534257149E0,-1.297193170E0,6.868367195E-1,2.901620865E-1
2.554145374E0,-2.244655788E-1,4.813680649E-1,4.497208595E-1
2.574032663E0,2.600026727E-1,4.823799133E-1,-4.837951660E-1
2.593921742E0,8.405929804E-2,1.383719444E-1,5.398511887E-2
2.613822988E0,-3.362151384E-1,8.853006363E-2,1.126749039E0
2.633682851E0,-4.854667187E-2,-1.857519150E-1,1.208118439E0
2.653586294E0,-3.861585259E-1,4.149580002E-2,8.888912201E-1
2.673474397E0,-5.506646633E-2,1.345114708E-1,-5.576224327E-1
2.693362540E0,1.334170103E-1,1.326560974E-3,-5.832667351E-1
2.713250725E0,-1.344533563E-1,-1.498365402E-2,1.293559074E-1
2.733139560E0,-4.845988750E-2,5.286645889E-2,3.660435677E-1
2.753031324E0,2.084262371E-1,-6.775856018E-2,-1.710686684E-1
2.772938714E0,1.437568069E-1,1.148939133E-2,-6.020593643E-1
2.792801426E0,-7.504820824E-3,7.035923004E-2,-2.538442612E-1
2.812702997E0,-1.443572640E-1,-2.259492874E-2,1.467175484E-1
2.832590815E0,-1.459466815E-1,-3.805208206E-2,-1.843166351E-2
2.852478837E0,-2.154312134E-1,-9.256362915E-3,-4.637608528E-1
2.872367794E0,4.863339663E-2,-6.203651428E-4,-4.232702255E-1
2.892255937E0,1.925548911E-1,-3.756332397E-2,-3.290514946E-1
2.912125648E0,1.161642075E-1,1.172862053E-1,1.032223701E-1
2.932015093E0,-7.496947050E-2,-3.253936768E-3,2.362155914E-1
2.951908771E0,-1.610178351E-1,5.036354065E-3,3.666272163E-1
2.971796914E0,-3.858596087E-2,-6.816816330E-2,-1.903290749E-1
2.991669921E0,-5.873441696E-2,6.022930145E-3,-2.725939751E-1
3.011573567E0,-1.146936417E-2,3.722524643E-2,-6.001725197E-1
3.031446005E0,5.488711596E-2,5.858087540E-2,-3.935112953E-1
3.051349855E0,1.319043040E-1,-1.079220772E-1,-9.026384354E-2
3.071238364E0,9.507375956E-2,1.852273941E-1,3.960084915E-2
3.091126304E0,-6.210744381E-2,2.610588074E-2,5.043983459E-3
3.111014489E0,-1.749557853E-1,-3.429412842E-2,7.161140442E-3
3.130902591E0,2.517980337E-2,-1.505947113E-1,3.945956230E-1
3.150790816E0,-5.855625868E-2,2.156624794E-1,3.307528496E-1
3.170679000E0,1.260900497E-1,1.155896187E-1,4.622654915E-1
