"Time (s)","Pressure (hPa)"
9.430563100E-2,1.005813538E3
1.194092300E-1,1.005935608E3
1.445268240E-1,1.005953918E3
1.696274520E-1,1.005828796E3
1.947281600E-1,1.005721985E3
2.198406690E-1,1.005725037E3
2.449296590E-1,1.005743347E3
2.700128710E-1,1.005731140E3
2.951433640E-1,1.005737244E3
3.202115220E-1,1.005749451E3
3.453125140E-1,1.005749451E3
3.704113520E-1,1.005752502E3
3.955102700E-1,1.005764709E3
4.206107750E-1,1.005755554E3
4.457248710E-1,1.005740295E3
4.708088970E-1,1.005746399E3
4.959258000E-1,1.005761658E3
5.210085640E-1,1.005761658E3
5.461082550E-1,1.005752869E3
5.712230030E-1,1.005746765E3
5.963188690E-1,1.005740662E3
6.214385390E-1,1.005746765E3
6.465248840E-1,1.005771179E3
6.716253070E-1,1.005780334E3
6.967245920E-1,1.005755920E3
7.218257070E-1,1.005752869E3
7.469229980E-1,1.005774231E3
7.720203700E-1,1.005792542E3
7.971200620E-1,1.005801697E3
8.222210140E-1,1.005816956E3
8.473226180E-1,1.005832214E3
8.724421250E-1,1.005929871E3
8.975250120E-1,1.006079407E3
9.226441530E-1,1.006094666E3
9.477328990E-1,1.005908508E3
9.728353160E-1,1.005725403E3
9.979262190E-1,1.005697937E3
1.023021963E0,1.005719666E3
1.048121289E0,1.005719666E3
1.073222851E0,1.005741028E3
1.098338657E0,1.005786804E3
1.123424757E0,1.005783752E3
1.148542922E0,1.005750183E3
1.173644810E0,1.005750183E3
1.198745804E0,1.005789856E3
1.223832068E0,1.005817322E3
1.248946815E0,1.005808167E3
1.274033607E0,1.005802063E3
1.299132892E0,1.005783752E3
1.324232908E0,1.005765442E3
1.349341186E0,1.005780701E3
1.374441202E0,1.005802063E3
1.399558716E0,1.005786804E3
1.424639934E0,1.005774597E3
1.449747235E0,1.005811218E3
1.474848798E0,1.005838684E3
1.499933882E0,1.005817444E3
1.525044315E0,1.005789978E3
1.550133427E0,1.005783875E3
1.575235356E0,1.005768616E3
1.600347296E0,1.005756409E3
1.625450283E0,1.005756409E3
1.650556932E0,1.005744202E3
1.675659350E0,1.005735046E3
1.700760466E0,1.005747253E3
1.725861621E0,1.005762512E3
1.750974700E0,1.005786926E3
1.776051930E0,1.005759460E3
1.801160615E0,1.005716736E3
1.826247285E0,1.005915100E3
1.851364188E0,1.006320984E3
1.876459281E0,1.006415588E3
1.901580660E0,1.006018860E3
1.926680067E0,1.005622131E3
1.951771335E0,1.005573303E3
1.976875178E0,1.005652893E3
2.001976537E0,1.005646790E3
2.027076920E0,1.005643738E3
2.052162288E0,1.005683411E3
2.077264584E0,1.005716980E3
2.102374529E0,1.005732239E3
2.127476703E0,1.005741394E3
2.152582538E0,1.005747498E3
2.177687927E0,1.005744446E3
2.202782938E0,1.005729187E3
2.227883281E0,1.005723083E3
2.252979107E0,1.005732239E3
2.278097963E0,1.005750549E3
2.303181012E0,1.005781067E3
2.328283023E0,1.005799377E3
2.353382958E0,1.005778015E3
2.378482610E0,1.005750549E3
2.403584172E0,1.005747498E3
2.428689764E0,1.005753601E3
2.453792019E0,1.005738342E3
2.478893216E0,1.005710876E3
2.503994657E0,1.005713928E3
2.529102039E0,1.005741394E3
2.554180774E0,1.005762756E3
2.579273386E0,1.005750549E3
2.604389150E0,1.005707825E3
2.629490713E0,1.005646790E3
2.654597728E0,1.005622375E3
2.679697949E0,1.005634583E3
2.704785189E0,1.005658997E3
2.729902459E0,1.005680359E3
2.755016595E0,1.005716980E3
2.780117101E0,1.005759705E3
2.805234329E0,1.005768860E3
2.830304643E0,1.005756653E3
2.855388546E0,1.005750549E3
2.880500160E0,1.005759705E3
2.905600298E0,1.005762756E3
2.930700356E0,1.005772217E3
2.955804645E0,1.005775269E3
2.980905273E0,1.005775269E3
3.006006998E0,1.005766113E3
3.031106243E0,1.005747803E3
3.056205364E0,1.005729492E3
3.081294965E0,1.005723389E3
3.106386029E0,1.005747803E3
3.131484988E0,1.005775269E3
3.156601485E0,1.005772217E3
3.181700077E0,1.005756958E3
3.206799932E0,1.005766113E3
3.231887171E0,1.005793579E3
3.256991461E0,1.005799683E3
3.282089280E0,1.005796631E3
3.307204231E0,1.005821045E3
3.332300707E0,1.005909546E3
3.357401864E0,1.006004150E3
3.382502735E0,1.005988892E3
3.407603648E0,1.005854858E3
3.432706431E0,1.005735840E3
3.457811779E0,1.005735840E3
3.482896781E0,1.005760254E3
3.508012057E0,1.005778564E3
3.533098198E0,1.005799927E3
3.558214410E0,1.005815186E3
3.583313857E0,1.005790771E3
3.608429743E0,1.005778564E3
3.633506037E0,1.005799927E3
3.658611222E0,1.005818237E3
3.683709326E0,1.005809082E3
3.708825945E0,1.005799927E3
3.733927752E0,1.005830444E3
3.759027281E0,1.005857910E3
3.784106627E0,1.005854858E3
3.809235168E0,1.005824341E3
3.834349711E0,1.005824341E3
3.859474020E0,1.005845703E3
3.884537375E0,1.005852051E3
3.909638166E0,1.005842896E3
3.934730736E0,1.005836792E3
3.959847762E0,1.005818481E3
3.984949812E0,1.005806274E3
4.010049220E0,1.005833740E3
4.035150904E0,1.005879517E3
4.060245551E0,1.005894775E3
4.085356146E0,1.005879517E3
4.110465563E0,1.005876465E3
4.135543973E0,1.005876465E3
4.160643421E0,1.005845947E3
4.185746001E0,1.005800171E3
4.210863230E0,1.005815430E3
4.235978383E0,1.005858154E3
4.261077994E0,1.005861206E3
4.286170116E0,1.005815430E3
4.311285637E0,1.005769653E3
4.336386508E0,1.005739136E3
4.361506259E0,1.005723877E3
4.386581292E0,1.005723877E3
4.411663324E0,1.005739136E3
4.436762934E0,1.005751343E3
4.461881668E0,1.005760498E3
4.486987057E0,1.005781860E3
4.512087317E0,1.005787964E3
4.537192665E0,1.005775757E3
4.562297402E0,1.005772705E3
4.587411579E0,1.005781860E3
4.612514485E0,1.005775757E3
4.637593750E0,1.005772705E3
4.662694133E0,1.005800171E3
4.687798870E0,1.005815430E3
4.712902304E0,1.005791016E3
4.738014244E0,1.005778809E3
4.763116661E0,1.005797119E3
4.788236332E0,1.005806274E3
4.813321537E0,1.005803223E3
4.838444789E0,1.005800293E3
4.863547206E0,1.005785034E3
4.888636481E0,1.005760620E3
4.913737270E0,1.005748413E3
4.938831998E0,1.005754517E3
4.963949715E0,1.005827759E3
4.989052906E0,1.005943726E3
5.014155486E0,1.006010864E3
5.039258433E0,1.005998657E3
5.064361216E0,1.005974243E3
5.089462780E0,1.005943726E3
5.114551240E0,1.005870483E3
5.139654188E0,1.005794189E3
5.164756564E0,1.005785034E3
5.189859633E0,1.005833862E3
5.214960830E0,1.005849121E3
5.240074234E0,1.005797241E3
5.265176448E0,1.005751465E3
5.290299658E0,1.005717896E3
5.315400204E0,1.005672119E3
5.340505796E0,1.005656860E3
5.365618996E0,1.005702637E3
5.390725890E0,1.005739258E3
5.415790140E0,1.005714844E3
5.440884705E0,1.005705688E3
5.465985982E0,1.005739258E3
5.491100730E0,1.005736206E3
5.516204652E0,1.005705688E3
5.541308495E0,1.005723999E3
5.566411074E0,1.005754517E3
5.591526594E0,1.005760620E3
5.616630029E0,1.005760620E3
5.641720361E0,1.005791138E3
5.666807561E0,1.005821655E3
5.691911199E0,1.005806396E3
5.717017279E0,1.005778931E3
5.742135159E0,1.005775879E3
5.767239734E0,1.005781982E3
5.792340360E0,1.005769897E3
5.817440174E0,1.005751587E3
5.842561960E0,1.005745483E3
5.867664948E0,1.005742432E3
5.892767690E0,1.005748535E3
5.917894889E0,1.005788208E3
5.942946606E0,1.005855347E3
5.968049431E0,1.005904175E3
5.993151360E0,1.005910278E3
6.018270461E0,1.005901123E3
6.043372471E0,1.005882812E3
6.068473831E0,1.005852295E3
6.093588171E0,1.005837036E3
6.118672889E0,1.005833984E3
6.143779985E0,1.005812622E3
6.168866087E0,1.005772949E3
6.193966998E0,1.005745483E3
6.219068236E0,1.005745483E3
6.244179890E0,1.005754639E3
6.269283529E0,1.005763916E3
6.294385295E0,1.005776123E3
6.319485638E0,1.005791382E3
6.344587078E0,1.005791382E3
6.369692141E0,1.005779175E3
6.394783165E0,1.005763916E3
6.419906580E0,1.005773071E3
6.445011072E0,1.005782227E3
6.470085129E0,1.005733398E3
6.495186041E0,1.005678467E3
6.520304735E0,1.005690674E3
6.545409309E0,1.005742554E3
6.570511279E0,1.005782227E3
6.595612638E0,1.005821899E3
6.620728810E0,1.005858521E3
6.645817433E0,1.005873779E3
6.670919078E0,1.005864624E3
6.696022268E0,1.005852417E3
6.721106823E0,1.005831055E3
6.746217216E0,1.005818970E3
6.771319837E0,1.005822021E3
6.796419894E0,1.005818970E3
6.821540825E0,1.005825073E3
6.846620701E0,1.005840332E3
6.871740981E0,1.005849487E3
6.896841853E0,1.005846436E3
6.921942928E0,1.005837280E3
6.947036679E0,1.005831177E3
6.972115414E0,1.005843384E3
6.997216245E0,1.005867798E3
7.022331846E0,1.005870850E3
7.047431497E0,1.005864746E3
7.072533548E0,1.005858643E3
7.097636617E0,1.005843384E3
7.122751445E0,1.005828125E3
7.147842307E0,1.005840332E3
7.172927634E0,1.005861694E3
7.198043114E0,1.005855591E3
7.223129337E0,1.005855591E3
7.248256209E0,1.005867798E3
7.273339950E0,1.005870850E3
7.298439805E0,1.005861694E3
7.323541367E0,1.005873901E3
7.348665148E0,1.005883057E3
7.373760322E0,1.005864746E3
7.398861316E0,1.005825073E3
7.423941598E0,1.005797607E3
7.449048573E0,1.005797607E3
7.474148305E0,1.005800659E3
7.499233877E0,1.005797607E3
7.524334382E0,1.005803711E3
7.549450350E0,1.005828125E3
7.574551953E0,1.005834229E3
7.599664666E0,1.005825073E3
7.624764275E0,1.005815918E3
7.649850010E0,1.005834229E3
7.674950352E0,1.005867798E3
7.700049678E0,1.005892395E3
7.725160315E0,1.005895447E3
7.750236772E0,1.005886292E3
7.775347653E0,1.005880188E3
7.800446206E0,1.005867981E3
7.825546832E0,1.005855774E3
7.850645792E0,1.005840515E3
7.875763508E0,1.005846619E3
7.900864625E0,1.005852722E3
7.925964315E0,1.005849670E3
7.951050661E0,1.005837463E3
7.976161704E0,1.005846619E3
8.001260908E0,1.005880188E3
8.026335005E0,1.005913757E3
8.051445073E0,1.005919861E3
8.076532923E0,1.005901550E3
8.101661870E0,1.005889343E3
8.126782395E0,1.005889343E3
8.151851406E0,1.005919861E3
8.176949144E0,1.005956299E3
8.202048388E0,1.005962402E3
8.227149260E0,1.005919678E3
8.252269255E0,1.005843384E3
8.277344736E0,1.005782349E3
8.302446299E0,1.005748779E3
8.327551769E0,1.005733521E3
8.352653820E0,1.005724365E3
8.377755994E0,1.005739624E3
8.402856376E0,1.005770142E3
8.427968519E0,1.005782349E3
8.453041029E0,1.005757935E3
8.478156102E0,1.005742676E3
8.503241511E0,1.005739624E3
8.528341976E0,1.005730469E3
8.553442114E0,1.005736572E3
8.578558774E0,1.005788452E3
8.603653785E0,1.005828125E3
8.628755023E0,1.005809814E3
8.653845315E0,1.005785828E3
8.678961242E0,1.005785828E3
8.704061950E0,1.005785828E3
8.729162944E0,1.005791931E3
8.754286846E0,1.005816345E3
8.779358055E0,1.005828552E3
8.804477684E0,1.005807190E3
8.829556420E0,1.005788879E3
8.854656762E0,1.005822449E3
8.879756454E0,1.005852966E3
8.904874822E0,1.005843811E3
8.929974188E0,1.005807190E3
8.955061143E0,1.005816345E3
8.980162055E0,1.005843811E3
9.005262519E0,1.005856018E3
9.030347848E0,1.005843811E3
9.055447579E0,1.005840759E3
9.080551218E0,1.005846863E3
9.105668406E0,1.005843811E3
9.130770824E0,1.005834412E3
9.155871858E0,1.005828308E3
9.180973706E0,1.005816101E3
9.206074211E0,1.005797791E3
9.231175896E0,1.005797791E3
9.256271559E0,1.005809998E3
9.281387852E0,1.005822205E3
9.306478185E0,1.005828308E3
9.331572830E0,1.005828308E3
9.356672440E0,1.005825256E3
9.381787919E0,1.005813049E3
9.406873532E0,1.005800842E3
9.431976519E0,1.005794739E3
9.457082681E0,1.005791687E3
9.482170124E0,1.005791687E3
9.507288615E0,1.005800842E3
9.532400960E0,1.005819153E3
9.557496908E0,1.005834412E3
9.582582480E0,1.005813049E3
9.607696698E0,1.005779724E3
9.632799685E0,1.005776672E3
9.657882979E0,1.005810242E3
9.682979577E0,1.005846863E3
9.708088302E0,1.005868225E3
9.733187179E0,1.005868225E3
9.758304246E0,1.005874329E3
9.783405320E0,1.005883484E3
9.808489753E0,1.005883484E3
9.833591072E0,1.005868225E3
9.858701140E0,1.005868225E3
9.883801156E0,1.005877380E3
9.908907562E0,1.005871277E3
9.934008229E0,1.005837708E3
9.959111909E0,1.005785828E3
9.984211803E0,1.005755310E3
