"Time (s)","Illuminance (lx)"
0.000000000E0,1.261487503E2
5.018432790E0,2.027112427E2
5.662767807E0,1.829387512E2
5.932945344E0,1.606837463E2
6.028556798E0,1.474424896E2
6.298729656E0,1.158424988E2
9.370579871E0,5.651749802E1
1.432516300E1,3.912500000E1
2.161170200E1,5.217250061E1
3.007567223E1,1.165487442E2
3.742177214E1,1.380337524E2
5.859345374E1,9.903874969E1
7.018260121E1,1.168937454E2
7.140116919E1,1.070674973E2
7.672411443E1,1.316024933E2
7.961452889E1,1.123787460E2
7.998050339E1,1.218137436E2
8.107837919E1,1.735074921E2
8.327419712E1,1.536649933E2
9.182854730E1,1.372412415E2
1.018408640E2,4.342250061E1
1.037538673E2,5.217749786E1
1.038495239E2,6.144374847E1
1.039367920E2,7.022124481E1
1.040657629E2,7.867375183E1
1.041530849E2,8.735374451E1
1.042487456E2,9.624749756E1
1.068596678E2,8.741124725E1
1.104396582E2,1.292587433E2
1.122150273E2,1.110337448E2
1.139486137E2,1.099249935E1
1.218101219E2,9.853750229E0
1.223920593E2,1.521249962E1
1.228451328E2,7.682249451E1
1.237597568E2,6.448625183E1
1.238553453E2,5.609124756E1
1.239426565E2,5.093375015E1
1.249529657E2,4.659749985E1
1.251358475E2,3.917749786E1
1.252231888E2,3.517250061E1
1.253188027E2,3.113249969E1
1.254061322E2,2.836374855E1
1.275475100E2,3.089499855E1
1.278343175E2,4.314374924E1
1.288779048E2,1.518949890E2
1.310774640E2,1.374524994E2
1.314600208E2,1.261974945E2
1.317718576E2,1.150162506E2
1.321543694E2,1.062649994E2
1.423892485E2,1.702225037E2
1.429881185E2,1.552937469E2
1.445643638E2,1.387287445E2
1.446516933E2,1.237975006E2
1.494427153E2,8.564374542E1
1.603715010E2,7.254875183E1
1.689872654E2,6.347999954E1
1.713823381E2,9.624624634E1
1.747092411E2,8.224624634E1
1.827755394E2,7.295124817E1
1.853370416E2,1.330099945E2
1.876445796E2,1.215462494E2
1.877318905E2,9.794124603E1
1.896569522E2,7.302499771E0
1.898399228E2,7.864999771E0
1.923013901E2,9.554999352E0
1.923887143E2,1.070874977E1
1.924843777E2,1.180875015E1
1.926673231E2,1.283374977E1
1.935820269E2,1.441374969E1
1.937649967E2,1.682625008E1
1.938522890E2,1.825499916E1
1.940351885E2,2.091874886E1
1.960970699E2,6.048749924E0
1.962799226E2,6.746249676E0
1.964627104E2,7.311249733E0
1.967579172E2,7.949999809E0
1.975061367E2,9.332499504E0
1.976890284E2,1.049374962E1
1.996385893E2,1.284999943E1
1.997342046E2,1.184875011E1
2.031102025E2,9.013750076E0
2.032931166E2,1.014874935E1
2.044238961E2,7.783750057E0
2.046234811E2,8.441249847E0
2.048230686E2,9.489999771E0
2.061368979E2,1.173874950E1
2.064404294E2,1.035124969E1
2.087191389E2,6.797499657E0
2.206440273E2,1.115625000E1
2.209477754E2,9.763750076E0
2.210433925E2,9.022500038E0
2.260503993E2,1.066125011E1
2.276971073E2,6.901249886E0
2.315940463E2,7.983749866E0
2.323424102E2,1.205124950E1
2.332031868E2,1.069750023E1
2.332904647E2,8.016249657E0
2.346837178E2,6.022500038E0
2.351702453E2,6.546249866E0
2.355362119E2,9.809999466E0
2.358314659E2,5.126374817E1
2.370666213E2,3.405249786E1
2.371788914E2,1.555999947E1
2.453663912E2,7.049999714E0
2.566764000E2,3.593750000E0
2.573376465E2,4.233749866E0
2.637964284E2,7.036249638E0
2.652603379E2,2.745874977E1
2.666367535E2,1.947474976E2
2.668197599E2,1.758574982E2
2.691988638E2,1.621662445E2
2.735900380E2,1.944162445E2
2.800255069E2,1.408812408E2
2.839331540E2,1.220937500E2
2.911376707E2,1.469337463E2
2.940645460E2,7.243624878E1
3.005005744E2,5.263499832E1
3.012321824E2,5.969499969E1
3.040709701E2,1.155724945E2
3.114034932E2,1.465637512E2
3.443620570E2,7.975374603E1
3.457296377E2,8.581499481E1
3.523131817E2,7.604750061E1
3.605406595E2,6.356124878E1
3.744555311E2,8.677124786E1
3.925598858E2,1.475537415E2
3.962189062E2,1.352149963E2
3.964974680E2,1.250237503E2
3.985097250E2,1.393899994E2
4.008876615E2,1.611449890E2
4.025336533E2,1.477162476E2
