"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.043551570E-1,5.233447890E1,4.866528400E0,2.872264270E0,NaN,NaN,1.397599983E1,2.046587706E0
2.088935516E1,5.233447330E1,4.866579200E0,2.872285461E0,NaN,NaN,1.503400040E1,2.008175611E0
4.199635516E1,5.233453070E1,4.866559100E0,2.872354708E0,NaN,NaN,1.421800041E1,1.979063153E0
6.088935516E1,5.233451110E1,4.866595200E0,2.872347793E0,NaN,NaN,1.475899982E1,2.175559282E0
8.199635516E1,5.233448590E1,4.866601600E0,2.872316005E0,NaN,NaN,1.522700024E1,2.129908085E0
1.009713552E2,5.233447320E1,4.866549600E0,2.872268383E0,NaN,NaN,1.406700039E1,1.822389960E0
1.209543552E2,5.233446910E1,4.866561200E0,2.872269253E0,NaN,NaN,1.599699974E1,1.883172870E0
1.420443552E2,5.233455480E1,4.866592600E0,2.872407782E0,NaN,NaN,1.478699970E1,1.737756371E0
1.609613552E2,5.233454530E1,4.866620700E0,2.872410498E0,NaN,NaN,1.493999958E1,1.549167275E0
1.809933552E2,5.233454150E1,4.866611500E0,2.872399887E0,NaN,NaN,1.547900009E1,1.628362536E0
1.944903552E2,5.233462780E1,4.866675100E0,2.872557689E0,NaN,NaN,1.776899910E1,1.743134856E0
2.152323552E2,5.233459300E1,4.866688000E0,2.872516115E0,NaN,NaN,1.638199997E1,2.372843027E0
2.354703552E2,5.233459040E1,4.866675900E0,2.872505533E0,NaN,NaN,1.620999908E1,2.044044733E0
2.552533552E2,5.233466620E1,4.866671200E0,2.872609479E0,NaN,NaN,2.433699989E1,5.436381340E0
2.615843552E2,5.233451950E1,4.866619400E0,2.872373459E0,NaN,NaN,1.667900085E1,1.617090702E0
2.823343552E2,5.233452320E1,4.866596200E0,2.872365388E0,NaN,NaN,1.687800026E1,1.424900413E0
3.023553552E2,5.233454840E1,4.866600800E0,2.872403471E0,NaN,NaN,1.335700035E1,1.340231419E0
3.235023552E2,5.233452240E1,4.866574700E0,2.872351959E0,NaN,NaN,1.579699993E1,1.621172190E0
3.423763552E2,5.233451950E1,4.866624500E0,2.872376377E0,NaN,NaN,1.539999962E1,1.499205112E0
